Date received,Product,Sub-product,Issue,Sub-issue,Company,State,ZIP code,Consumer consent provided?,Submitted via,Date sent to company,Company response to consumer,Timely response?,Consumer disputed?
7/29/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,Wells Fargo & Company,VA,24540,N/A,Phone,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Checking account,Using a debit or ATM card,,Wells Fargo & Company,CA,95992,N/A,Web,7/31/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Checking account,"Account opening, closing, or management",,Santander Bank US,NY,10065,N/A,Fax,7/31/2013,Closed,Yes,No
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,Wells Fargo & Company,GA,30084,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Franklin Credit Management,CT,6106,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Checking account,Deposits and withdrawals,,Bank of America,TX,75025,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt is not mine,"NRA Group, LLC",VA,20147,N/A,Web,8/7/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Debt collection,I do not know,Cont'd attempts collect debt not owed,Debt was paid,"SunTrust Banks, Inc.",FL,32818,N/A,Referral,8/1/2013,Closed with explanation,Yes,Yes
7/29/2013,Credit card,,Billing statement,,Citibank,OH,45247,N/A,Referral,7/30/2013,Closed with explanation,Yes,Yes
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,Wells Fargo & Company,NV,89511,N/A,Referral,7/30/2013,Closed with explanation,Yes,Yes
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Bank of America,NC,27949,N/A,Referral,7/30/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,JPMorgan Chase & Co.,CA,90703,N/A,Referral,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Citibank,CA,95821,N/A,Referral,7/31/2013,Closed with explanation,Yes,Yes
7/29/2013,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,"Asset Management Professionals, LLC",PA,19145,N/A,Phone,8/1/2013,Closed with explanation,No,
7/29/2013,Debt collection,Credit card,Communication tactics,Frequent or repeated calls,Wells Fargo & Company,PA,19145,N/A,Phone,8/1/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,JPMorgan Chase & Co.,NY,14092,N/A,Phone,7/31/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,Ocwen,FL,33426,N/A,Web,7/31/2013,Closed with explanation,Yes,Yes
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan modification,collection,foreclosure",,JPMorgan Chase & Co.,NY,10019,N/A,Web,7/30/2013,Closed with explanation,Yes,Yes
7/29/2013,Mortgage,Conventional fixed mortgage,"Loan servicing, payments, escrow account",,Citibank,NJ,7604,N/A,Web,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Credit card,,APR or interest rate,,Synchrony Financial,WA,98548,N/A,Web,7/29/2013,Closed with monetary relief,Yes,No
7/29/2013,Credit reporting,,Credit monitoring or identity protection,Problem cancelling or closing account,Experian,CA,90034,N/A,Web,7/29/2013,Closed with monetary relief,Yes,No
7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Bank of America,HI,96793,N/A,Web,7/31/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Other mortgage,"Application, originator, mortgage broker",,JPMorgan Chase & Co.,FL,32825,N/A,Postal mail,7/30/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Conventional fixed mortgage,"Application, originator, mortgage broker",,Wells Fargo & Company,NY,10605,N/A,Web,7/31/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,Ocwen,NY,14467,N/A,Referral,7/30/2013,Closed with explanation,Yes,Yes
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,U.S. Bancorp,CA,92591,N/A,Referral,7/31/2013,Closed with monetary relief,Yes,No
7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Application, originator, mortgage broker",,Bank of America,IL,60443,N/A,Web,8/1/2013,Closed with explanation,Yes,No
7/29/2013,Bank account or service,Other bank product/service,Deposits and withdrawals,,Wells Fargo & Company,CA,96088,N/A,Web,8/1/2013,Closed with explanation,Yes,No
7/29/2013,Credit reporting,,Incorrect information on credit report,Public record,Equifax,CA,91605,N/A,Web,7/29/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Debt collection,"Other (i.e. phone, health club, etc.)",Cont'd attempts collect debt not owed,Debt was paid,"Northland Group, Inc.",FL,32233,N/A,Referral,8/1/2013,Closed with explanation,Yes,No
7/29/2013,Mortgage,Other mortgage,"Loan modification,collection,foreclosure",,"SunTrust Banks, Inc.",FL,32084,N/A,Referral,8/2/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Mortgage,Conventional adjustable mortgage (ARM),"Loan modification,collection,foreclosure",,Bank of America,FL,33234,N/A,Web,7/30/2013,Closed with non-monetary relief,Yes,No
7/29/2013,Mortgage,Other mortgage,"Loan servicing, payments, escrow account",,"SunTrust Banks, Inc.",FL,32505,N/A,Referral,8/2/2013,Closed,Yes,No
7/29/2013,Consumer Loan,Vehicle loan,Managing the loan or lease,,Santander Consumer USA Holdings Inc,CA,92677,N/A,Referral,8/5/2013,Closed,Yes,Yes
